,Unnamed: 0,prefix,input_text,target_text
0,0,webNLG,Familiarity | knowledge_skills | ADF && Familiarity | knowledge_skills | the strengths and weaknesses of wider toolsets && Familiarity | knowledge_skills | Databricks," Familiarity with the strengths and weaknesses of wider toolsets such as PowerQuery, ADF, Databricks, dbt"
1,1,webNLG,Familiar | knowledge_areas | agile delivery framework, Familiar with agile delivery framework
2,2,webNLG,Experience | Experience_skills | working with machine learning or predictive models," Experience working with machine learning or predictive models, e"
3,3,webNLG,Knowledgeable | knowledge_skills | adaptable && Knowledgeable | knowledge_skills | proactively upskilling," Knowledgeable – proactively upskilling, adaptable,"
4,4,webNLG,Degree | degree_in | equivalent && Degree | degree_in | a mathematical / analytical related discipline,Degree in a mathematical/analytical related discipline or equivalent
5,5,webNLG,Ability | knowledge_skills | analyse and extract information from large data sets, Ability to analyse and extract information from large data sets
6,6,webNLG,A technical ability | knowledge_skills | using software ( SQL / R or other coding languages ), A technical ability using software (SQL/R or other coding languages)
7,7,webNLG,Knowledge | knowledge_skills | distressed debt, Knowledge of distressed debt
8,8,webNLG,Proficiency | knowledge_skills | use of a statistical programming language such as Python or R for the purpose of Data Analysis, Proficiency in the use of a statistical programming language such as Python or R for the purpose of Data Analysis
9,9,webNLG,Good proficiency | knowledge_skills | SQL && Good proficiency | knowledge_skills | other database tools, Good proficiency in SQL and other database tools
10,10,webNLG,Understanding | knowledge_areas | latest && Understanding | knowledge_areas | Data Analysis, Understanding the latest developments in Data Analysis including some basic Data Science concepts
11,11,webNLG,Ability | knowledge_skills | diagnose learner needs && Ability | knowledge_skills | adapt to their requirements in a remote environment, Ability to diagnose learner needs and adapt to their requirements in a remote environment
12,12,webNLG,Ability | knowledge_skills | overcome barriers && Ability | knowledge_skills | solve problems using experience and knowledge, Ability to solve problems using experience and knowledge to overcome barriers
13,13,webNLG,Experience | Experience_skills | a similar role ( hospitality / cinema front of house ),Experience in a similar role (hospitality/cinema front of house)
14,14,webNLG,"Availability | knowledge_skills | work shifts , including evenings and weekends as per business needs","Availability to work shifts, including evenings and weekends as per business needs"
15,15,webNLG,"Ability | knowledge_skills | work independently , && Ability | knowledge_skills | exercising good initiative and judgement","Ability to work independently, exercising good initiative and judgement"
16,16,webNLG,Ability | knowledge_skills | work under pressure and,Ability to work under pressure and meet reasonable deadlines and targets
17,17,webNLG,Understanding | knowledge_skills | Microsoft 365 ’ s PowerPlatforms ( Power BI ),Understanding of Microsoft 365’s PowerPlatforms (Power BI)
18,18,webNLG,Experience | Experience_skills | delivering and managing data driven projects within a consultancy,Experience delivering and managing data driven projects within a consultancy
19,19,webNLG,Demonstrable experience | Experience_skills | a number of data related projects, Demonstrable experience on a number of data related projects
20,20,webNLG,Experience | Experience_skills | defining and documenting workflow approval process within MDM,Experience of defining and documenting workflow approval process within MDM
21,21,webNLG,"Experience | Experience_skills | working with leading data applications for Tier 1 vendors such as IBM , SAP , Oracle and others","Experience working with leading data applications for Tier 1 vendors such as IBM, SAP, Oracle and others"
22,22,webNLG,Ability | knowledge_skills | develop data quality solutions by performing Data Profiling and cleansing activities,Ability to develop data quality solutions by performing Data Profiling and cleansing activities
23,23,webNLG,Demonstrable experience | Experience_skills | a Data / Business analyst && Demonstrable experience | Experience_skills | at least 2 end - to - end data centric projects,Demonstrable experience on at least 2 end-to-end data centric projects as a Data/Business analyst
24,24,webNLG,"Experience | Experience_skills | preparation of analytical insight and presenting to stakeholders && Experience | Experience_skills | interrogating , manipulating and presenting customer and Financial Crime information"," Experience of interrogating, manipulating and presenting customer and Financial Crime information, including the preparation of analytical insight and presenting to stakeholders"
25,25,webNLG,Knowledge | knowledge_skills | customer or risk profiling and segmentation," Knowledge of customer or risk profiling and segmentation,"
