,Unnamed: 0,prefix,input_text,target_text
7122,7122,webNLG,some | Experience_areas | similar techniques && hands - on experience | Experience_areas | similar techniques && Experience | Experience_areas | similar techniques && Experience | Experience_areas | the MMM / Econometric fields," Experience within the MMM/Econometric fields, ideally with some hands-on experience in similar techniques"
7123,7123,webNLG,Experience | Experience_skills | working with tools used for MMM / Econometrics such as Eviews / R, Experience working with tools used for MMM/Econometrics such as Eviews/R
7124,7124,webNLG,Good understanding | knowledge_skills | marketing effectiveness is desirable && Good understanding | knowledge_areas | marketing effectiveness, Good understanding of marketing effectiveness is desirable
7125,7125,webNLG,Essential Experience | Experience_skills | Skills, Essential Experience and Skills
7126,7126,webNLG,Ability | knowledge_skills | collaborate on API design and consumption,Ability to collaborate on API design and consumption
7127,7127,webNLG,Experience | Experience_skills | other front end stacks && Experience | Experience_skills | AngularJS,Experience with other front end stacks such as AngularJS
7128,7128,webNLG,Experience | Experience_skills | Dexie && Experience | Experience_skills | Nivo,Experience with with Nivo and/or Dexie
7129,7129,webNLG,Have experience | Experience_skills | working in an agile way,Have experience working in an agile way
7130,7130,webNLG,experience | Experience_areas | media industry && experience | Experience_skills | start - up && experience | Experience_skills | media industry && experience | Experience_areas | start - up,Ideally have experience in the start-up or media industry
7131,7131,webNLG,Previous experience | Experience_skills | operations && Previous experience | Experience_skills | HR && Previous experience | Experience_areas | H && Previous experience | Experience_areas | technology && Previous experience | Experience_skills | technology teams && Previous experience | Experience_skills | finance," Previous experience could be from finance, operations, HR or technology teams"
7132,7132,webNLG,Experience | Experience_skills | supporting early careers operations, Experience supporting early careers operations
7133,7133,webNLG,"Experience | Experience_skills | using and managing third party systems , including applicant tracking systems ( e"," Experience of using and managing third party systems, including applicant tracking systems (e"
7134,7134,webNLG,ability | knowledge_skills | respond rapidly to urgent requests to fulfil business needs && ability | knowledge_skills | interact with various stakeholders across different geographies, Relationship management experience and ability to interact with various stakeholders across different geographies and respond rapidly to urgent requests to fulfil business needs
7135,7135,webNLG,Strong ability | knowledge_skills | make data understandable and useful for stakeholders by displaying data in interesting and engaging ways, Strong ability to make data understandable and useful for stakeholders by displaying data in interesting and engaging ways
7136,7136,webNLG,experience | Experience_areas | project management methodologies, Knowledge and experience of project management methodologies
7137,7137,webNLG,Experience | Experience_skills | managing budgets && Experience | Experience_skills | financial analysis, Experience of managing budgets or financial analysis
7138,7138,webNLG,Proven experience | Experience_skills | working as a data engineer or software engineer working on data platforms, Proven experience working as a data engineer or software engineer working on data platforms
7139,7139,webNLG,Experience | Experience_skills | data warehouse design && Experience | Experience_skills | Data modelling && Experience | Experience_skills | data lake concepts," Experience of Data modelling, data warehouse design, data lake concepts and practices"
