,Unnamed: 0,prefix,input_text,target_text
7382,7382,webNLG,Experience | Experience_skills | working in Econometrics either agency or client - side, Experience working in Econometrics either agency or client-side
7383,7383,webNLG,Knowledgeable | knowledge_skills | the Mobile SMR product && Knowledgeable | knowledge_skills | market && Knowledgeable | knowledge_skills | direction,"Knowledgeable about the Mobile SMR product, market, and direction"
7384,7384,webNLG,Experience | Experience_skills | working remotely and delivering service,Experience of working remotely and delivering service
7385,7385,webNLG,Ability | knowledge_skills | deal with customers at all levels,Ability to deal with customers at all levels
7386,7386,webNLG,Practical working experience | Experience_skills | the motor trade && Practical working experience | Experience_skills | working with different types of light vehicles,Practical working experience within the motor trade working with different types of light vehicles including the ability to use diagnostic procedures
7387,7387,webNLG,Broad knowledge | knowledge_skills | coaching techniques,Broad knowledge of coaching techniques and styles
7388,7388,webNLG,"Ability | knowledge_skills | collate , interpret and assess information in a variety of forms to support evidence - based decision making and problem solving","Ability to collate, interpret and assess information in a variety of forms to support evidence-based decision making and problem solving"
7389,7389,webNLG,previous experience | Experience_skills | working within a regulated environment or in sales,Ideally have previous experience working within a regulated environment or in sales and be able to demonstrate excellent customer service
7390,7390,webNLG,can | knowledge_skills | understand customers needs and requirements to ensure you do the right thing for each and every one,Have great knowledge retention and recall and can understand customers needs and requirements to ensure you do the right thing for each and every one
7391,7391,webNLG,Experience | Experience_skills | the MMM / Econometric fields && some | Experience_skills | the MMM / Econometric fields && some | Experience_skills | similar techniques && hands - on experience | Experience_skills | similar techniques && Experience | Experience_areas | the MMM / Econometric fields," Experience within the MMM/Econometric fields, ideally with some hands-on experience in similar techniques"
7392,7392,webNLG,Experience | Experience_skills | working with tools used for MMM / Econometrics such as Eviews / R, Experience working with tools used for MMM/Econometrics such as Eviews/R
7393,7393,webNLG,Good understanding | knowledge_skills | marketing effectiveness, Good understanding of marketing effectiveness is desirable
7394,7394,webNLG,Ability | knowledge_skills | collaborate on API design and consumption,Ability to collaborate on API design and consumption
7395,7395,webNLG,Experience | Experience_skills | other front end stacks && Experience | Experience_skills | AngularJS,Experience with other front end stacks such as AngularJS
7396,7396,webNLG,Experience | Experience_skills | Nivo && Experience | Experience_skills | Dexie,Experience with with Nivo and/or Dexie
7397,7397,webNLG,Have experience | Experience_skills | working in an agile way,Have experience working in an agile way
7398,7398,webNLG,Previous experience | Experience_skills | finance && Previous experience | Experience_skills | operations && Previous experience | Experience_skills | HR && Previous experience | Experience_skills | technology teams," Previous experience could be from finance, operations, HR or technology teams"
7399,7399,webNLG,Experience | Experience_skills | supporting early careers operations, Experience supporting early careers operations
7400,7400,webNLG,"Experience | Experience_skills | using and managing third party systems , including applicant tracking systems"," Experience of using and managing third party systems, including applicant tracking systems (e"
7401,7401,webNLG,ability | knowledge_skills | interact with various stakeholders across different geographies && ability | knowledge_skills | respond rapidly to urgent requests to fulfil business needs, Relationship management experience and ability to interact with various stakeholders across different geographies and respond rapidly to urgent requests to fulfil business needs
7402,7402,webNLG,Strong ability | knowledge_skills | make data understandable and useful for stakeholders by displaying data in interesting and engaging ways, Strong ability to make data understandable and useful for stakeholders by displaying data in interesting and engaging ways
7403,7403,webNLG,Knowledge | knowledge_areas | project management methodologies && experience | Experience_areas | project management methodologies, Knowledge and experience of project management methodologies
7404,7404,webNLG,Experience | Experience_skills | managing budgets or financial analysis, Experience of managing budgets or financial analysis
7405,7405,webNLG,Proven experience | Experience_skills | working as a data engineer or software engineer working on data platforms, Proven experience working as a data engineer or software engineer working on data platforms
7406,7406,webNLG,Experience | Experience_skills | Data modelling && Experience | Experience_skills | data warehouse design && Experience | Experience_areas | data lake concepts && Experience | Experience_areas | practices," Experience of Data modelling, data warehouse design, data lake concepts and practices"
7407,7407,webNLG,Experience | Experience_skills | the Azure data platform && Experience | Experience_skills | Data Factory && Experience | Experience_skills | Data Lake && Experience | Experience_skills | SQL Data Warehousing ( Synapse ) && Experience | Experience_skills | Microsoft Dataverse," Experience of the Azure data platform, especially Data Factory, Data Lake and SQL Data Warehousing (Synapse) and the Microsoft Dataverse"
7408,7408,webNLG,Experience | Experience_skills | working within data governance and compliance frameworks, Experience working within data governance and compliance frameworks
7409,7409,webNLG,"Experience | Experience_skills | creating logical data models , preferably within the financial services sector"," Experience creating logical data models, preferably within the financial services sector"
7410,7410,webNLG,Experience | Experience_skills | using SQL Server and Azure SQL, Experience using SQL Server and Azure SQL
7411,7411,webNLG,Experience | Experience_skills | providing MI reporting,Experience of providing MI reporting
7412,7412,webNLG,Strong Knowledge | knowledge_skills | SQL Language && experience | Experience_skills | SQL Language,Strong Knowledge and experience in SQL Language
7413,7413,webNLG,Ability | knowledge_skills | interpret and analyse data,Ability to interpret and analyse data
7414,7414,webNLG,Good knowledge | knowledge_skills | Health & && Good knowledge | knowledge_skills | Safety, Good knowledge of Health & Safety
7415,7415,webNLG,A broad understanding | knowledge_skills | the cyber security threat landscape,A broad understanding of the cyber security threat landscape
7416,7416,webNLG,Strong technical background | Experience_skills | computers and networks && Strong technical background | Experience_skills | programming skills," Strong technical background in computers and networks, and programming skills"
7417,7417,webNLG,Experience | Experience_skills | dealing with cyber security incidents and associated response measures, Experience of dealing with cyber security incidents and associated response measures
7418,7418,webNLG,Experience | Experience_skills | being part of an incident response team," Experience of being part of an incident response team, either holding a formal role, or being able to evidence your personal contribution to the team"
7419,7419,webNLG,Understanding | knowledge_areas | a wide range of information security and IT methodologies && Understanding | knowledge_areas | technologies && Understanding | knowledge_areas | techniques," Understanding of a wide range of information security and IT methodologies, principles, technologies and techniques"
7420,7420,webNLG,"Hands on experience | Experience_skills | developing front end , middle tier or back end software"," Hands on experience developing front end, middle tier or back end software"
7421,7421,webNLG,"Experience | Experience_skills | building applications for the cloud such as Azure , AWS or Google"," Experience building applications for the cloud such as Azure, AWS or Google"
7422,7422,webNLG,Experience | Experience_skills | Docker && Experience | Experience_skills | Kubernetes && Experience | Experience_skills | other serverless application delivery platforms," Experience with Docker, Kubernetes or other serverless application delivery platforms"
7423,7423,webNLG,Experience | Experience_skills | messaging && Experience | Experience_skills | Service Bus && Experience | Experience_skills | MQ && Experience | Experience_skills | Kafka," Experience with messaging such as Service Bus, MQ or Kafka"
7424,7424,webNLG,Experience | Experience_skills | Data Analytics && Experience | Experience_skills | Business Intelligence, Experience with Data Analytics and Business Intelligence
7425,7425,webNLG,knowledge | knowledge_skills | customer service contact channels && knowledge | knowledge_skills | social media && knowledge | knowledge_skills | phone && knowledge | knowledge_skills | e - mail && knowledge | knowledge_skills | communicating across all platforms and levels && demonstrating | knowledge_skills | customer service contact channels && demonstrating | knowledge_skills | face to face && demonstrating | knowledge_skills | social media && demonstrating | knowledge_skills | phone && demonstrating | knowledge_skills | e - mail && demonstrating | knowledge_skills | communicating across all platforms and levels && confidence | knowledge_skills | customer service contact channels && confidence | knowledge_skills | face to face && confidence | knowledge_skills | social media && confidence | knowledge_skills | phone && confidence | knowledge_skills | e - mail && confidence | knowledge_skills | communicating across all platforms and levels," You should have knowledge of customer service contact channels such as face to face, social media, phone and e-mail whilst demonstrating confidence at communicating across all platforms and levels"
7426,7426,webNLG,Proficient | knowledge_skills | Microsoft Office && Proficient | knowledge_skills | MS Excel && an | knowledge_skills | MS Excel, Proficient in Microsoft Office with an emphasis on MS Excel
7427,7427,webNLG,Ability | knowledge_skills | meet deadlines while dealing with multiple priorities, Ability to meet deadlines while dealing with multiple priorities
7428,7428,webNLG,Strong experience | Experience_skills | data visualization tools ( specifically Tableau and Power BI ),"Strong experience in data visualization tools (specifically Tableau and Power BI) with proficient Excel skills (including pivot tables, lookups and IF statements)"
7429,7429,webNLG,That | knowledge_skills | product knowledge, That means product knowledge is very important too
7430,7430,webNLG,Degree level or higher | degree_in | a STEM subject, Degree level or higher in a STEM subject
7431,7431,webNLG,ability | knowledge_skills | undertake analysis to understand root causes of systemic data issues,Data cleanse with ability to undertake analysis to understand root causes of systemic data issues
7432,7432,webNLG,an understanding | knowledge_skills | our Administration database && an understanding | knowledge_skills | arrange periodic refresh of data held in non - Production environments,Gain an understanding of our Administration database and arrange periodic refresh of data held in non-Production environments
7433,7433,webNLG,the ability | knowledge_skills | react to changes promptly and effectively && Demonstrable experience | Experience_skills | effective prioritisation && Demonstrable experience | Experience_skills | task execution in a high - pressure environment,Demonstrable experience of effective prioritisation and task execution in a high-pressure environment and the ability to react to changes promptly and effectively
7434,7434,webNLG,Knowledge | knowledge_skills | Master Data && good experience | Experience_skills | Data Management,Knowledge of Master Data and good experience in Data Management
7435,7435,webNLG,Experience | Experience_skills | working in a data stewardship role && Experience | Experience_skills | driving process efficiency and data quality / standards,Experience of working in a data stewardship role and driving process efficiency and data quality / standards
7436,7436,webNLG,Ability | knowledge_skills | manage large sets of data && Ability | knowledge_skills | identify and fix errors,"Ability to manage large sets of data, and identify and fix errors"
7437,7437,webNLG,Ability | knowledge_skills | quickly manipulate data && Ability | knowledge_skills | prepare reports as needed in an environment with large data sets,"Ability to quickly manipulate data, and prepare reports as needed in an environment with large data sets"
